1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,3.223,2.743,2.206,0.31,1.964,1.74564,2.01384,3.322,1.62851,4.50821,3.57214,3.94223,0.990001,1.832,3,0.802016,3.827,2.314,6.18171,3.37392,6.90704,3.46512,5.89359,3.56972,2.94968,6.66691,3.461,1.906,2.176,1.903,3.179,0.468001,2.497,6.87326,3.10616,2.95782,2.6077,6.98298,3.64687,6.56154
3.223,0,5.966,1.01701,3.533,5.187,1.63365,3.89271,2.50202,2.0988,6.59173,4.04024,5.72316,4.213,1.391,0.223,2.421,0.604003,0.909014,7.07407,3.9614,8.37408,4.5824,5.77213,4.66419,3.3744,7.09402,0.238,1.31701,5.399,1.32,0.0440114,3.691,5.72,7.22446,5.63624,2.4695,2.17391,6.9696,0.822271,8.5778
2.743,5.966,0,4.949,2.433,0.779001,4.44279,3.31551,5.61113,4.18722,4.12802,5.1109,4.15794,1.753,4.575,5.743,3.545,6.57,5.057,6.67559,4.91,6.71187,4.55511,7.23552,4.6334,4.77518,7.47441,6.204,4.649,0.567,4.646,5.922,2.275,0.246008,7.71044,2.68509,5.2333,4.9945,8.08353,6.35722,5.78697
2.206,1.01701,4.949,0,2.516,4.17,0.736384,3.06563,2.3478,1.26643,5.82152,3.59709,5.0061,3.196,0.374001,0.79401,1.40401,1.621,0.108005,6.636,3.47472,7.79587,3.9876,5.61195,4.08047,2.87793,6.79668,1.25501,0.300007,4.382,0.303015,0.973005,2.674,4.703,6.9537,4.74678,2.1635,1.76873,6.80866,1.55316,7.85336
0.31,3.533,2.433,2.516,0,1.654,2.04435,2.02122,3.54859,1.89198,4.38162,3.67641,3.87098,0.680001,2.142,3.31,1.11201,4.137,2.624,6.17875,3.47379,6.83027,3.49868,5.99761,3.60206,3.08871,6.70701,3.771,2.216,1.866,2.213,3.489,0.158003,2.187,6.91862,2.93572,3.17819,2.84544,7.0627,3.95092,6.42018
1.964,5.187,0.779001,4.17,1.654,0,3.67005,2.73799,4.91447,3.432,4.056,4.56111,3.90767,0.974,3.796,4.964,2.766,5.791,4.278,6.42204,4.35556,6.65488,4.09185,6.76982,4.17942,4.15608,7.14893,5.425,3.87,0.212002,3.867,5.143,1.496,0.533001,7.38019,2.52534,4.53524,4.27382,7.68882,5.58438,5.88957
1.74564,1.63365,4.44279,0.736384,2.04435,3.67005,0,2.33009,1.96056,0.533349,5.08521,2.96774,4.27441,2.70868,0.531949,1.4235,1.0076,2.21504,0.817603,5.97797,2.82702,7.08785,3.28935,5.0968,3.38521,2.24029,6.19894,1.86124,0.556094,3.88,0.559379,1.59159,2.19803,4.19872,6.36763,4.02733,1.68776,1.26996,6.28003,1.91448,7.1189
2.01384,3.89271,3.31551,3.06563,2.02122,2.73799,2.33009,0,2.48514,1.8106,2.76563,1.8244,2.02283,2.19723,2.79498,3.70374,2.21146,4.41956,3.14728,4.16837,1.61819,4.96056,1.48393,4.08222,1.58587,1.47428,4.68971,4.09816,2.84469,2.88529,2.84611,3.85461,2.04413,3.12478,4.90408,1.78319,2.13786,2.05999,5.0874,3.89142,4.81827
3.322,2.50202,5.61113,2.3478,3.54859,4.91447,1.96056,2.48514,0,1.74383,4.65281,1.67627,3.70731,4.08477,2.40186,2.43375,2.81484,2.76819,2.34238,4.61734,1.66892,6.02708,2.4082,3.29762,2.46122,1.20965,4.59213,2.59412,2.38386,5.10137,2.38934,2.48617,3.66942,5.38943,4.72319,4.1758,0.379301,0.728303,4.49859,2.01063,6.4589
1.62851,2.0988,4.18722,1.26643,1.89198,3.432,0.533349,1.8106,1.74383,0,4.55696,2.50138,3.74124,2.50782,1.04812,1.9014,1.07404,2.65321,1.34183,5.47928,2.34714,6.56066,2.77008,4.70156,2.86761,1.77668,5.73979,2.31461,1.0822,3.63635,1.08491,2.05899,2.03177,3.94813,5.91608,3.53749,1.40875,1.01556,5.86919,2.23758,6.58697
4.50821,6.59173,4.12802,5.82152,4.38162,4.056,5.08521,2.76563,4.65281,4.55696,0,3.1018,0.952064,4.17271,5.56008,6.41752,4.91605,7.0762,5.89879,2.75512,3.03022,2.6005,2.27184,4.11097,2.24361,3.4485,3.7159,6.78081,5.60877,4.06023,5.61031,6.5565,4.32518,4.09109,3.95224,1.54271,4.42471,4.53693,4.53481,6.45693,2.06626
