"","game_date","game_name","team_name","opp_team_name","team_venue","player_name","period","situation_type","event_type","event_successful","event_time","x_event","y_event","receiver_name","receiver_x","receiver_y","shot_type","goal","goal_predictions"
"12","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Marie-Philip Poulin",1,"5 on 5","Shot","f",1158,154,36,"",NA,NA,"Snapshot",0,0.0220777425139488
"16","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Meghan Agosta",1,"5 on 5","Shot","f",1144,177,39,"",NA,NA,"Snapshot",0,0.0771159922229462
"19","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brigette Lacquette",1,"6 on 5","Shot","f",1133,128,82,"",NA,NA,"Fan",0,9.94778671961022e-10
"30","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Laura Fortino",1,"5 on 4","Shot","f",1095,152,67,"",NA,NA,"Slapshot",0,0.022748230741638
"32","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brianne Jenner",1,"5 on 4","Shot","f",1094,174,58,"",NA,NA,"Snapshot",0,0.0694076821299509
"36","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brigette Lacquette",1,"5 on 4","Shot","f",1080,159,74,"",NA,NA,"Snapshot",0,0.032406287343676
"43","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brigette Lacquette",1,"5 on 4","Shot","f",1036,136,51,"",NA,NA,"Slapshot",0,0.00891047227010156
"44","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brianne Jenner",1,"5 on 4","Shot","f",1033,165,43,"",NA,NA,"Wristshot",0,0.0192411564193069
"48","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Rebecca Johnston",1,"5 on 4","Shot","f",1014,179,21,"",NA,NA,"Snapshot",0,0.0815003692795737
"55","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jocelyne Larocque",1,"5 on 5","Shot","f",992,158,13,"",NA,NA,"Snapshot",0,0.0257687584261255
"58","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Valeria Pavlova",1,"5 on 5","Shot","f",982,156,40,"",NA,NA,"Wristshot",0,0.011558183220939
"63","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Bailey Bram",1,"5 on 5","Shot","f",969,178,29,"",NA,NA,"Wristshot",0,0.0377683848163443
"71","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brigette Lacquette",1,"5 on 5","Shot","f",936,132,69,"",NA,NA,"Snapshot",0,0.00712445776003849
